Title,Price,Room_type,num_of_beds,Cancel_policy,Reviewrs,Review_stars
"Private,Affordable, 20 min to NYC!","Price
$93 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,267,Rating 4.5 out of 5
Beautiful private unit in the heart of Brooklyn,"Price
$69 CAD per night",ENTIRE HOUSE , 2 BEDS, · Free cancellation,145,Rating 4.5 out of 5
New2BR/PreWar building EASY access to NYC!!,"Price
$78 CAD per night",ENTIRE CONDOMINIUM , 3 BEDS, · Free cancellation,178,Rating 5 out of 5
Luxurious Suite Steps from Liberty State Park/NYC!,"Price
$56 CAD per night",ENTIRE GUEST SUITE , 2 BEDS, · Free cancellation,117,Rating 5 out of 5
Sun filled 2BR in BedStuy Townhouse,"Price
$192 CAD per night",ENTIRE TOWNHOUSE , 3 BEDS, · Free cancellation,272,Rating 4.5 out of 5
Brownstone Williamsburg room with skylight Create,"Price
$74 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,188,Rating 4.5 out of 5
Chic Designer’s Room & 2 Beds in Manhattan LES,"Price
$78 CAD per night",PRIVATE ROOM , 2 BEDS, · Free cancellation,205,Rating 4.5 out of 5
cozy bedroom near columbus circle l,"Price
$65 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,290,Rating 5 out of 5
Manhattan's Best Deal!,"Price
$219 CAD per night",ENTIRE APARTMENT , 5 BEDS, · Free cancellation,266,Rating 4.5 out of 5
Exposed Brick Brownstone Apt!,"Price
$118 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,129,Rating 5 out of 5
AMAZING DESIGNER TIMES SQUARE APARTMENT- BEAUTIFUL,"Price
$179 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,86,Rating 4.5 out of 5
New Apt. in Park Slope / Gowanus,"Price
$119 CAD per night",ENTIRE APARTMENT , 0 BEDS, · Free cancellation,307,Rating 5 out of 5
1BR few mins to NYC 42rd ST or Time Square,"Price
$86 CAD per night",ENTIRE CONDOMINIUM , 1 BED, · Free cancellation,183,Rating 4.5 out of 5
BIG Guest Room w/King Bed near Williamsburg Bridge,"Price
$78 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,202,Rating 4.5 out of 5
"*Studio flat near Manhattan, NYC!","Price
$65 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,194,Rating 4.5 out of 5
It's The Brooklyn Way !!!,"Price
$70 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,126,Rating 4.5 out of 5
Cozy Room for Rent 10 Min from NYC,"Price
$62 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,219,Rating 4.5 out of 5
